en	Y	6c
es	Y	6c
it	Y	6c
de	Y	6c
fr	Y	6c
ja	Y	6c
ko	Y	6c
ru	Y	6c
pt	Y	6c
zh	Y	6c
nl	Y	6c
pl	Y	6c
vi	Y	6c
-----	-----	-----
ca	Y	6c
uk	Y	6c
sv	Y	6c
no	Y	6c
hu	Y	6c
cs	Y	6c
ast	Y	6c
id	Y	6c
fi	Y	6c
bg	Y	6c
eu	Y	6c
min	Y	6c
ro	Y	6c
gl	Y	6c
sr	Y	6c
eo	Y	6c
tr	Y	6c
th	Y	6c
szl	Y	6c
az	Y	6c
hr	Y	6c
be	Y	6c
el	Y	6c
ml	Y	6c
lv	Y	6c
et	Y	6c
lt	Y	6c
af	Y	6c
hy	Y	6c
da	Y	6c
cy	Y	6c
bn	Y	6c
la	Y	6c
mk	Y	6c
ms	Y	6c
sk	Y	6c
ka	Y	6c
ta	Y	6c
nn	Y	6c
sl	Y	6c
is	Y	6c
nv	Y	6c
bs	Y	6c
sh	Y	6c
kk	Y	6c
br	Y	6c
hi	Y	6c
kn	Y	6c
sq	Y	6c
oc	Y	6c
hsb	Y	6c
jv	Y	6c
su	Y	6c
te	Y	6c
fy	Y	6c
ba	Y	6c
sw	Y	6c
mrj	Y	6c
as	Y	6c
ky	Y	6c
ne	Y	6c
sco	Y	6c
nds	Y	6c
tl	Y	6c
my	Y	6c
pms	Y	6c
be-x-old	Y	6c
or	Y	6c
ga	Y	6c
mr	Y	6c
tt	Y	6c
an	Y	6c
ku	Y	6c
-----	-----	-----
ceb	Y	6c
war	Y	6c
-----	-----	-----
gu	Y	
frr	Y	
qu	Y	
lmo	Y	
uz	Y	
koi	Y	
mn	Y	
kv	Y	
pa	Y	
als	Y	
cv	Y	
si	Y	
udm	Y	
lb	Y	
rm	Y	
li	Y	
vls	Y	
wa	Y	
mt	Y	
dsb	Y	
kab	Y	
kbd	Y	
tg	Y	
co	Y	
bcl	Y	
myv	Y	
ia	Y	
fo	Y	
zh-min-nan	Y	
pam	Y	
ce	Y	
nds-nl	Y	
ace	Y	
vec	Y	
csb	Y	
mdf	Y	
gv	Y	
vep	Y	
sah	Y	
rue	Y	
bar	Y	
ban	Y	
tcy	Y	
lij	Y	
stq	Y	
gd	Y	
bat-smg	Y	
mhr	Y	
bh	Y	
gn	Y	
xmf	Y	
io	Y	
to	Y	
eml	Y	
olo	Y	
pcd	Y	
lfn	Y	
am	Y	
sa	Y	
diq	Y	
bjn	Y	
scn	Y	
dty	Y	
so	Y	
mwl	Y	
zea	Y	
ha	Y	
se	Y	
nap	Y	
nah	Y	
os	Y	
inh	Y	
lez	Y	
wuu	Y	
mg	Y	
szy	Y	
yo	Y	
bxr	Y	
ht	Y	
tyv	Y	
ext	Y	
kw	Y	
ln	Y	
sn	Y	
ang	Y	
mi	Y	
sc	Y	
cdo	Y	
wo	Y	
hak	Y	
mai	Y	
fiu-vro	Y	
ltg	Y	
rw	Y	
new	Y	
nrm	Y	
tk	Y	
ay	Y	
chy	Y	
atj	Y	
za	Y	
fj	Y	
ik	Y	
bo	Y	
lbe	Y	
roa-rup	Y	
av	Y	
chr	Y	
rn	Y	
zh-classical	Y	
kl	Y	
vo	Y	
ab	Y	